,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,water_equiv_snowfall,station_pressure,sealevel_pressure,wind_speed,wind_direction,avg_wind_speed,datetime,year,month,day,wind_direction_cos,wind_direction_sin,TS,GR,RA,DZ,SN,FG,BR,HZ,FU,SQ,MI,BC,VC,FG+,MD
0,1,83,50,67.0,14.0,51,56.0,0.0,2.0,448,1849,0.0,29.1,29.82,1.7,270,9.2,2007-05-01,2007,5,1,-1.8369701987210297e-16,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,84,52,68.0,14.0,51,57.0,0.0,3.0,448,1849,0.0,29.18,29.82,2.7,250,9.6,2007-05-01,2007,5,1,-0.3420201433256694,-0.9396926207859082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,59,42,51.0,-3.0,42,47.0,14.0,0.0,447,1850,0.0,29.38,30.09,13.0,40,13.4,2007-05-02,2007,5,2,0.766044443118978,0.6427876096865393,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,2,60,43,52.0,-3.0,42,47.0,13.0,0.0,447,1850,0.0,29.44,30.08,13.3,20,13.4,2007-05-02,2007,5,2,0.9396926207859084,0.3420201433256687,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
4,1,66,46,56.0,2.0,40,48.0,9.0,0.0,446,1851,0.0,29.39,30.12,11.7,70,11.9,2007-05-03,2007,5,3,0.3420201433256688,0.9396926207859083,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2,67,48,58.0,2.0,40,50.0,7.0,0.0,446,1851,0.0,29.46,30.12,12.9,60,13.2,2007-05-03,2007,5,3,0.5000000000000001,0.8660254037844386,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,1,66,49,58.0,4.0,41,50.0,7.0,0.0,444,1852,0.0,29.31,30.05,10.4,80,10.8,2007-05-04,2007,5,4,0.17364817766693041,0.984807753012208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,2,78,51,58.0,4.0,42,50.0,7.0,0.0,444,1852,0.0,29.36,30.04,10.1,70,10.4,2007-05-04,2007,5,4,0.3420201433256688,0.9396926207859083,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,1,66,53,60.0,5.0,38,49.0,5.0,0.0,443,1853,0.0,29.4,30.1,11.7,70,12.0,2007-05-05,2007,5,5,0.3420201433256688,0.9396926207859083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2,66,54,60.0,5.0,39,50.0,5.0,0.0,443,1853,0.0,29.46,30.09,11.2,70,11.5,2007-05-05,2007,5,5,0.3420201433256688,0.9396926207859083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
